Product Description,Frame,SHGC,U-VALUE
COLOURVUE Deep Aquamarine  ,Timber/PVCu/Aluminium thermal break,0.59,5.6
COLOURVUE Coolblue  ,Timber/PVCu/Aluminium thermal break,0.69,5.6
COLOURVUE Deep Coolblue  ,Timber/PVCu/Aluminium thermal break,0.68,5.6
COLOURVUE Coolbronze  ,Timber/PVCu/Aluminium thermal break,0.61,5.6
COLOURVUE Deep Coolbronze  ,Timber/PVCu/Aluminium thermal break,0.5,5.6
COLOURVUE Coolgrey  ,Timber/PVCu/Aluminium thermal break,0.6,5.6
COLOURVUE Deep Coolgrey  ,Timber/PVCu/Aluminium thermal break,0.48,5.6
COLOURVUE Coral Rose Red  ,Timber/PVCu/Aluminium thermal break,0.69,5.6
COLOURVUE Dark Red  ,Timber/PVCu/Aluminium thermal break,0.49,5.6
COLOURVUE Evening Shadow Black  ,Timber/PVCu/Aluminium thermal break,0.61,5.6
COLOURVUE Regal Blue  ,Timber/PVCu/Aluminium thermal break,0.67,5.6
COLOURVUE Deep Regal Blue  ,Timber/PVCu/Aluminium thermal break,0.61,5.6
COLOURVUE Ruby Red  ,Timber/PVCu/Aluminium thermal break,0.69,5.6
COLOURVUE Sahara Sun Yellow  ,Timber/PVCu/Aluminium thermal break,0.69,5.6
COLOURVUE Sapphire Blue  ,Timber/PVCu/Aluminium thermal break,0.65,5.6
COLOURVUE Shadowlight 50  ,Timber/PVCu/Aluminium thermal break,0.62,5.6
COLOURVUE Shadowlight 25  ,Timber/PVCu/Aluminium thermal break,0.49,5.6
COLOURVUE Shadowlight 10  ,Timber/PVCu/Aluminium thermal break,0.36,5.6
COLOURVUE True Blue  ,Timber/PVCu/Aluminium thermal break,0.54,5.6
COLOURVUE Serene Green  ,Timber/PVCu/Aluminium thermal break,0.59,5.6
COLOURVUE Deep Serene Green  ,Timber/PVCu/Aluminium thermal break,0.5,5.6
COLOURVUE TRANSLUCENT Aquamarine Translucent  ,Timber/PVCu/Aluminium thermal break,0.5,5.6
COLOURVUE TRANSLUCENT Arctic Snow White  ,Timber/PVCu/Aluminium thermal break,0.66,5.6
COLOURVUE TRANSLUCENT Blue Translucent  ,Timber/PVCu/Aluminium thermal break,0.6,5.6
COLOURVUE TRANSLUCENT Regal Blue Translucent  ,Timber/PVCu/Aluminium thermal break,0.46,5.6
COLOURVUE TRANSLUCENT Bronze Translucent  ,Timber/PVCu/Aluminium thermal break,0.5,5.6
COLOURVUE TRANSLUCENT Grey Translucent  ,Timber/PVCu/Aluminium thermal break,0.5,5.6
COOLVUE CoolVue Clear  ,Timber/PVCu/Aluminium thermal break,0.47,5.6
COOLVUE CoolVue Regal Blue  ,Timber/PVCu/Aluminium thermal break,0.39,5.6
COOLVUE CoolVue Grey  ,Timber/PVCu/Aluminium thermal break,0.34,5.6
COOLVUE CoolVue Serene Green  ,Timber/PVCu/Aluminium thermal break,0.41,5.6
SOLARVUE Aquamarine HL ,Timber/PVCu/Aluminium thermal break,0.46,5.6
SOLARVUE Aquamarine XHL ,Timber/PVCu/Aluminium thermal break,0.52,5.6
SOLARVUE Blue HL ,Timber/PVCu/Aluminium thermal break,0.47,5.6
SOLARVUE Blue XHL ,Timber/PVCu/Aluminium thermal break,0.53,5.6
